PV_gen_share	OcM	REM	Storage_hrs	BackupShare	Storage_LCOH	GreenHydrogen_LCOH	Transport_LCHS	Electricity_LCOH	Total_LCOH		
0.4	0.5	2.5	15	0.304046313	0.290790387	5.390554244	0.058355464	3.742730281	9.482430376		
0.45	0.5	2	20	0.44340299	0.388382607	5.405372293	0.054249853	3.635147908	9.483152661		
0.5	0.5	2	19	0.45188814	0.368963477	5.488940332	0.054249853	3.571713158	9.48386682		
0.55	0.5	2.5	13	0.333439387	0.252145153	5.631577433	0.058384829	3.541825705	9.48393312		
0.65	0.5	2	1	0.493379152	0.01941913	5.93788469	0.054249853	3.475687993	9.487241667		
0.15	0.5	2	5	0.418865699	0.097093043	5.177204027	0.054248396	4.15891023	9.487455696		
0.55	0.5	2	17	0.461662242	0.330125216	5.588467944	0.054249853	3.514678658	9.487521671		
0.25	0.5	2	13	0.423359358	0.252445472	5.217618856	0.054249161	3.96385228	9.488165769		
0.2	0.5	2	9	0.421240091	0.17476867	5.198474627	0.054248766	4.062654574	9.490146636		
0.35	0.5	2.5	10	0.302630854	0.193970481	5.384032261	0.058388643	3.855614363	9.492005748		
0.35	0.5	2.5	9	0.303990937	0.174593287	5.395402033	0.058395283	3.863767331	9.492157934		
0.35	0.5	2.5	11	0.301415737	0.213343269	5.373821814	0.058382004	3.848292717	9.493839804		
0.45	0.5	2.5	16	0.312442211	0.310182892	5.456294445	0.058356683	3.669438814	9.494272834		
0.35	0.5	2.5	8	0.305502107	0.155211684	5.407993137	0.058401925	3.872796083	9.49440283		
0.5	0.5	2.5	16	0.32124171	0.310250406	5.52853125	0.058369385	3.597509053	9.494660094		
0.3	0.5	2	16	0.427314514	0.310705076	5.253690354	0.054249677	3.876721612	9.495366718		
0.6	0.5	2	12	0.475009704	0.233029564	5.730368249	0.054249853	3.479055001	9.496702668		
0.4	0.5	2.5	4	0.319763318	0.077641166	5.524759308	0.058428508	3.836034511	9.496863492		
0.6	0.5	2.5	6	0.352138419	0.116464337	5.800491159	0.058429807	3.521681705	9.497067008		
0.4	0.5	2.5	16	0.303818626	0.310141165	5.387920171	0.058348833	3.740898978	9.497309147		
0.35	0.5	2.5	12	0.300325916	0.232711652	5.364607423	0.058375367	3.841685317	9.497379759		
0.6	0.5	2.5	5	0.353431443	0.097062013	5.812845804	0.058434863	3.529191915	9.497534594		
0.5	0.5	2.5	3	0.338633107	0.058240688	5.683522257	0.058438355	3.698495135	9.498696435		
0.6	0.5	2.5	7	0.351096978	0.1358596	5.7901856	0.058423158	3.515417105	9.499885464		
0.55	0.5	2.5	14	0.3332117	0.271540935	5.629660337	0.058384829	3.540618465	9.500204565		
0.35	0.5	2.5	7	0.307274405	0.135825672	5.422681535	0.058408569	3.883328751	9.500244527		
